Participant,ius_1,ius_2,ius_3,ius_4,ius_5,ius_6,ius_7,ius_8,ius_9,ius_10,ius_11,ius_12,ius_13,ius_14,ius_15,ius_16,ius_17,ius_18,ius_19,ius_20,ius_21,ius_22,ius_23,ius_24,ius_25,ius_26,ius_27,sticsa_1,sticsa_2,sticsa_3,sticsa_4,sticsa_5,sticsa_6,sticsa_7,sticsa_8,sticsa_9,sticsa_10,sticsa_11,sticsa_12,sticsa_13,sticsa_14,sticsa_15,sticsa_16,sticsa_17,sticsa_18,sticsa_19,sticsa_20,sticsa_21
96,3.00,1.00,2.00,2.00,2.00,3.00,2.00,4.00,1.00,3.00,2.00,2.00,1.00,1.00,2.00,2.00,2.00,2.00,3.00,1.00,2.00,1.00,1.00,1.00,1.00,2.00,1.00,2.00,2.00,1.00,3.00,1.00,1.00,2.00,1.00,3.00,1.00,1.00,1.00,1.00,3.00,1.00,1.00,2.00,1.00,1.00,1.00,2.00
97,3.00,1.00,2.00,2.00,3.00,3.00,4.00,5.00,2.00,3.00,1.00,2.00,1.00,2.00,2.00,1.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,3.00,1.00,2.00,3.00,2.00,1.00,2.00,2.00,3.00,2.00,1.00,1.00,2.00,4.00,2.00,1.00,2.00,1.00,2.00,3.00,4.00,2.00,3.00,2.00,2.00
98,1.00,1.00,1.00,2.00,1.00,3.00,2.00,3.00,1.00,1.00,3.00,2.00,1.00,1.00,1.00,2.00,1.00,2.00,1.00,2.00,3.00,3.00,1.00,3.00,1.00,3.00,2.00,3.00,2.00,1.00,1.00,1.00,2.00,2.00,2.00,1.00,4.00,3.00,4.00,1.00,3.00,2.00,4.00,3.00,1.00,2.00,1.00,2.00
99,1.00,2.00,1.00,2.00,2.00,3.00,4.00,5.00,1.00,4.00,5.00,2.00,1.00,1.00,2.00,2.00,3.00,3.00,5.00,2.00,2.00,1.00,1.00,4.00,3.00,2.00,2.00,4.00,4.00,4.00,3.00,1.00,2.00,2.00,2.00,1.00,4.00,2.00,2.00,2.00,2.00,2.00,3.00,4.00,2.00,1.00,2.00,3.00
100,1.00,2.00,1.00,2.00,1.00,2.00,1.00,4.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,1.00,2.00,1.00,3.00,1.00,1.00,2.00,2.00,2.00,3.00,2.00,1.00,1.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,4.00
101,3.00,2.00,2.00,1.00,2.00,2.00,3.00,4.00,2.00,4.00,4.00,2.00,1.00,1.00,1.00,2.00,2.00,4.00,3.00,2.00,4.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,3.00,2.00,1.00
102,5.00,1.00,1.00,1.00,2.00,2.00,3.00,2.00,3.00,3.00,3.00,2.00,2.00,3.00,2.00,2.00,2.00,3.00,2.00,3.00,4.00,4.00,1.00,1.00,1.00,2.00,2.00,3.00,1.00,1.00,2.00,2.00,1.00,2.00,1.00,1.00,2.00,3.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,2.00,1.00,2.00
103,3.00,2.00,3.00,2.00,2.00,2.00,2.00,2.00,2.00,3.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,3.00,2.00,3.00,3.00,3.00,3.00,2.00,2.00,2.00,2.00,1.00,1.00,2.00,3.00,2.00,1.00,2.00,2.00,1.00,2.00,2.00,1.00,1.00,2.00,1.00
104,4.00,5.00,4.00,1.00,2.00,5.00,4.00,4.00,4.00,3.00,4.00,4.00,4.00,3.00,3.00,5.00,4.00,4.00,4.00,3.00,5.00,4.00,3.00,3.00,3.00,2.00,5.00,2.00,1.00,2.00,4.00,4.00,2.00,1.00,2.00,3.00,4.00,3.00,2.00,2.00,1.00,1.00,2.00,3.00,1.00,3.00,2.00,1.00
105,2.00,2.00,1.00,3.00,1.00,2.00,2.00,4.00,2.00,5.00,2.00,1.00,2.00,2.00,2.00,3.00,3.00,3.00,2.00,2.00,3.00,5.00,3.00,2.00,2.00,3.00,2.00,3.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,2.00,1.00,2.00,3.00,2.00,1.00,1.00,1.00,1.00
106,4.00,2.00,3.00,3.00,2.00,3.00,2.00,3.00,1.00,2.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,3.00,2.00,2.00,4.00,5.00,2.00,4.00,2.00,3.00,4.00,3.00,3.00,2.00,2.00,3.00,1.00,1.00,1.00,2.00,3.00,4.00,3.00,2.00,1.00,3.00,2.00,2.00,1.00,2.00,1.00,1.00
107,4.00,1.00,1.00,1.00,2.00,3.00,2.00,4.00,1.00,1.00,3.00,1.00,3.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,2.00,1.00,1.00,2.00,1.00,3.00,2.00,4.00,1.00,2.00,1.00,1.00,2.00,2.00,1.00,2.00,1.00,1.00
108,2.00,2.00,1.00,3.00,2.00,2.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,4.00,1.00,1.00,3.00,1.00,2.00,2.00,1.00,1.00,1.00,3.00,1.00,1.00,2.00,2.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,2.00,2.00,1.00,1.00,1.00,2.00
109,4.00,3.00,5.00,5.00,3.00,4.00,4.00,4.00,4.00,5.00,5.00,3.00,4.00,2.00,3.00,5.00,3.00,4.00,2.00,2.00,3.00,2.00,3.00,4.00,3.00,4.00,3.00,4.00,2.00,3.00,4.00,4.00,2.00,2.00,2.00,4.00,4.00,4.00,3.00,4.00,2.00,3.00,4.00,4.00,4.00,4.00,2.00,4.00
110,4.00,4.00,4.00,3.00,1.00,4.00,3.00,4.00,3.00,2.00,3.00,3.00,4.00,3.00,3.00,4.00,3.00,4.00,3.00,2.00,3.00,3.00,1.00,2.00,3.00,3.00,4.00,2.00,3.00,4.00,4.00,4.00,2.00,2.00,2.00,4.00,4.00,3.00,1.00,4.00,1.00,2.00,4.00,4.00,1.00,4.00,2.00,1.00
111,2.00,2.00,2.00,2.00,2.00,2.00,3.00,2.00,3.00,2.00,2.00,1.00,2.00,1.00,1.00,2.00,1.00,2.00,1.00,1.00,3.00,2.00,2.00,2.00,1.00,2.00,2.00,3.00,2.00,2.00,2.00,1.00,2.00,2.00,2.00,2.00,1.00,2.00,3.00,1.00,2.00,2.00,2.00,3.00,3.00,2.00,1.00,1.00
112,3.00,2.00,1.00,1.00,2.00,3.00,4.00,2.00,3.00,5.00,2.00,2.00,2.00,1.00,2.00,4.00,2.00,2.00,3.00,2.00,4.00,1.00,1.00,2.00,2.00,1.00,3.00,2.00,2.00,3.00,3.00,4.00,1.00,1.00,1.00,2.00,2.00,2.00,1.00,2.00,1.00,1.00,2.00,3.00,1.00,3.00,1.00,1.00
113,5.00,5.00,1.00,1.00,3.00,2.00,2.00,4.00,3.00,4.00,5.00,2.00,1.00,2.00,2.00,1.00,2.00,3.00,2.00,2.00,4.00,3.00,1.00,2.00,2.00,3.00,3.00,2.00,2.00,2.00,1.00,2.00,1.00,1.00,1.00,2.00,2.00,1.00,1.00,2.00,1.00,1.00,3.00,1.00,1.00,2.00,1.00,1.00
114,2.00,1.00,2.00,1.00,1.00,2.00,1.00,3.00,2.00,2.00,3.00,2.00,2.00,2.00,3.00,1.00,2.00,1.00,3.00,2.00,3.00,3.00,1.00,1.00,2.00,4.00,2.00,2.00,1.00,3.00,3.00,4.00,1.00,1.00,1.00,3.00,4.00,2.00,1.00,2.00,1.00,1.00,3.00,2.00,1.00,4.00,2.00,1.00
115,3.00,1.00,1.00,1.00,2.00,2.00,3.00,3.00,2.00,4.00,3.00,1.00,1.00,2.00,2.00,3.00,1.00,3.00,3.00,2.00,3.00,2.00,1.00,1.00,2.00,2.00,2.00,1.00,2.00,2.00,2.00,1.00,1.00,2.00,1.00,2.00,2.00,3.00,2.00,2.00,2.00,2.00,1.00,3.00,1.00,2.00,2.00,1.00
116,1.00,3.00,1.00,4.00,3.00,4.00,5.00,2.00,2.00,2.00,3.00,1.00,1.00,2.00,2.00,4.00,3.00,5.00,2.00,1.00,4.00,1.00,5.00,5.00,2.00,3.00,4.00,3.00,3.00,2.00,1.00,1.00,1.00,2.00,2.00,1.00,3.00,1.00,1.00,1.00,1.00,2.00,1.00,2.00,1.00,3.00,1.00,1.00
117,2.00,1.00,2.00,1.00,3.00,2.00,2.00,3.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,2.00,3.00,1.00,1.00,3.00,1.00,3.00,2.00,3.00,3.00,3.00,2.00,2.00,2.00,2.00,2.00,3.00,3.00,2.00,3.00,2.00,2.00,2.00,4.00,3.00,2.00,2.00,2.00,1.00
118,2.00,3.00,1.00,1.00,1.00,3.00,2.00,3.00,2.00,2.00,3.00,1.00,1.00,2.00,2.00,1.00,1.00,4.00,3.00,1.00,1.00,1.00,1.00,3.00,3.00,1.00,3.00,3.00,1.00,2.00,1.00,1.00,2.00,2.00,1.00,1.00,2.00,3.00,1.00,1.00,2.00,1.00,1.00,3.00,1.00,2.00,1.00,2.00
119,5.00,3.00,4.00,2.00,2.00,3.00,3.00,3.00,4.00,1.00,2.00,1.00,1.00,1.00,3.00,1.00,2.00,2.00,1.00,2.00,2.00,1.00,1.00,1.00,2.00,3.00,3.00,2.00,2.00,2.00,2.00,3.00,1.00,4.00,2.00,1.00,3.00,4.00,1.00,2.00,2.00,2.00,2.00,3.00,1.00,2.00,1.00,1.00
120,2.00,1.00,1.00,2.00,2.00,2.00,3.00,4.00,1.00,3.00,4.00,2.00,1.00,1.00,2.00,5.00,2.00,4.00,1.00,1.00,2.00,1.00,3.00,2.00,2.00,4.00,4.00,2.00,2.00,2.00,3.00,2.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,1.00,1.00,3.00,3.00,2.00,1.00,2.00,1.00,2.00
121,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,1.00,2.00,1.00,1.00,1.00,2.00,3.00,1.00,1.00,1.00,2.00,2.00,5.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
122,3.00,2.00,1.00,2.00,2.00,3.00,1.00,3.00,2.00,2.00,1.00,2.00,2.00,2.00,3.00,4.00,2.00,2.00,2.00,1.00,2.00,3.00,3.00,3.00,2.00,1.00,2.00,2.00,1.00,2.00,2.00,1.00,1.00,2.00,2.00,2.00,3.00,3.00,1.00,2.00,1.00,1.00,3.00,1.00,2.00,2.00,2.00,1.00
123,1.00,1.00,3.00,1.00,1.00,2.00,1.00,2.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,2.00,1.00,1.00,1.00,1.00,2.00,3.00,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,2.00,2.00,1.00,1.00,2.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00
124,4.00,1.00,2.00,3.00,4.00,4.00,4.00,4.00,2.00,4.00,4.00,1.00,2.00,3.00,2.00,2.00,3.00,4.00,4.00,2.00,5.00,4.00,4.00,4.00,2.00,3.00,4.00,2.00,2.00,4.00,3.00,1.00,1.00,2.00,1.00,3.00,4.00,3.00,1.00,4.00,2.00,2.00,2.00,3.00,1.00,3.00,2.00,1.00
125,4.00,2.00,3.00,2.00,2.00,2.00,3.00,3.00,2.00,3.00,1.00,3.00,2.00,2.00,2.00,5.00,3.00,4.00,2.00,4.00,3.00,4.00,4.00,3.00,3.00,3.00,4.00,3.00,2.00,2.00,3.00,2.00,1.00,2.00,2.00,2.00,3.00,3.00,2.00,1.00,3.00,2.00,2.00,3.00,3.00,3.00,2.00,2.00
126,4.00,3.00,3.00,4.00,4.00,5.00,5.00,5.00,4.00,3.00,2.00,4.00,3.00,1.00,4.00,3.00,5.00,4.00,3.00,5.00,2.00,5.00,3.00,3.00,5.00,4.00,3.00,3.00,1.00,3.00,4.00,3.00,3.00,3.00,3.00,2.00,4.00,4.00,3.00,3.00,1.00,2.00,2.00,4.00,3.00,4.00,2.00,1.00
127,2.00,2.00,1.00,1.00,3.00,2.00,2.00,2.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,3.00,1.00,1.00,4.00,1.00,2.00,2.00,1.00,2.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,2.00,1.00,1.00,2.00,3.00,1.00,2.00,1.00,2.00
128,3.00,1.00,1.00,1.00,1.00,3.00,1.00,2.00,1.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,2.00,2.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,1.00,1.00,2.00,3.00,1.00,1.00,2.00,1.00,1.00,2.00,2.00,1.00,2.00,2.00,2.00
129,2.00,2.00,2.00,2.00,2.00,3.00,3.00,2.00,2.00,5.00,4.00,3.00,2.00,3.00,2.00,2.00,2.00,2.00,4.00,3.00,3.00,2.00,2.00,4.00,3.00,4.00,3.00,2.00,3.00,3.00,3.00,2.00,1.00,2.00,2.00,4.00,3.00,1.00,2.00,3.00,1.00,1.00,4.00,2.00,2.00,2.00,2.00,1.00
130,1.00,1.00,2.00,2.00,3.00,2.00,2.00,3.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,5.00,2.00,2.00,2.00,2.00,1.00,1.00,2.00,3.00,3.00,3.00,1.00,4.00,2.00,1.00,1.00,1.00,1.00,2.00,3.00,3.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00
131,3.00,3.00,3.00,1.00,2.00,2.00,3.00,3.00,1.00,3.00,3.00,2.00,2.00,2.00,3.00,1.00,2.00,3.00,3.00,1.00,4.00,2.00,1.00,2.00,3.00,3.00,3.00,1.00,2.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,1.00,2.00,3.00,1.00,1.00,1.00,2.00,1.00,2.00
132,2.00,2.00,4.00,4.00,5.00,3.00,4.00,5.00,3.00,3.00,3.00,2.00,3.00,3.00,3.00,4.00,4.00,4.00,4.00,3.00,3.00,4.00,5.00,2.00,3.00,3.00,4.00,1.00,1.00,4.00,3.00,3.00,1.00,3.00,2.00,4.00,4.00,1.00,2.00,2.00,1.00,2.00,2.00,2.00,2.00,3.00,2.00,1.00
133,4.00,3.00,1.00,1.00,1.00,4.00,1.00,5.00,3.00,2.00,3.00,1.00,2.00,1.00,1.00,4.00,1.00,3.00,1.00,1.00,5.00,1.00,1.00,1.00,2.00,1.00,3.00,4.00,2.00,3.00,1.00,2.00,1.00,1.00,1.00,1.00,3.00,1.00,1.00,3.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00
134,4.00,3.00,5.00,4.00,5.00,5.00,3.00,5.00,5.00,5.00,5.00,4.00,4.00,5.00,5.00,5.00,4.00,3.00,3.00,3.00,3.00,5.00,5.00,3.00,5.00,5.00,5.00,2.00,1.00,3.00,4.00,4.00,1.00,3.00,3.00,4.00,4.00,2.00,2.00,3.00,1.00,2.00,3.00,3.00,1.00,2.00,2.00,2.00
135,3.00,2.00,2.00,3.00,4.00,1.00,2.00,4.00,2.00,5.00,3.00,1.00,2.00,3.00,2.00,1.00,2.00,4.00,3.00,2.00,4.00,2.00,1.00,1.00,2.00,3.00,5.00,2.00,2.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,3.00,2.00,2.00,1.00,2.00,2.00,1.00,2.00,2.00,2.00,2.00,1.00
136,3.00,1.00,4.00,1.00,5.00,5.00,5.00,4.00,4.00,4.00,4.00,2.00,2.00,2.00,3.00,5.00,5.00,5.00,5.00,4.00,4.00,3.00,1.00,3.00,3.00,4.00,4.00,2.00,3.00,3.00,4.00,4.00,1.00,2.00,2.00,3.00,4.00,2.00,2.00,2.00,3.00,4.00,2.00,4.00,2.00,2.00,1.00,1.00
137,4.00,2.00,3.00,2.00,3.00,4.00,3.00,3.00,4.00,2.00,3.00,2.00,2.00,2.00,3.00,5.00,3.00,2.00,2.00,2.00,2.00,3.00,2.00,4.00,2.00,3.00,3.00,2.00,2.00,3.00,2.00,1.00,2.00,3.00,2.00,3.00,2.00,2.00,3.00,2.00,1.00,2.00,2.00,3.00,2.00,2.00,3.00,3.00
138,3.00,1.00,1.00,1.00,1.00,2.00,1.00,2.00,1.00,3.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,2.00,1.00,1.00,2.00,1.00,2.00,2.00,2.00,1.00,2.00,4.00,1.00,1.00,1.00,2.00,1.00,3.00,1.00,2.00,1.00,1.00
139,2.00,1.00,2.00,4.00,4.00,2.00,4.00,4.00,3.00,3.00,2.00,3.00,3.00,2.00,3.00,3.00,4.00,3.00,3.00,2.00,4.00,4.00,2.00,3.00,2.00,4.00,3.00,3.00,2.00,4.00,2.00,1.00,1.00,2.00,1.00,1.00,3.00,2.00,1.00,3.00,3.00,1.00,2.00,3.00,2.00,3.00,1.00,1.00
140,3.00,2.00,1.00,1.00,2.00,2.00,2.00,3.00,2.00,3.00,1.00,2.00,1.00,1.00,2.00,4.00,3.00,3.00,3.00,1.00,1.00,3.00,1.00,2.00,1.00,1.00,2.00,4.00,3.00,2.00,2.00,1.00,4.00,3.00,3.00,3.00,4.00,1.00,2.00,1.00,2.00,2.00,4.00,4.00,2.00,2.00,4.00,4.00
141,4.00,3.00,4.00,2.00,4.00,5.00,4.00,5.00,3.00,5.00,5.00,4.00,3.00,4.00,5.00,5.00,4.00,5.00,4.00,4.00,4.00,3.00,5.00,4.00,4.00,4.00,4.00,3.00,2.00,1.00,3.00,3.00,1.00,2.00,1.00,1.00,2.00,3.00,2.00,3.00,2.00,2.00,3.00,4.00,2.00,4.00,2.00,2.00
142,3.00,1.00,1.00,3.00,1.00,3.00,2.00,3.00,2.00,3.00,2.00,2.00,2.00,2.00,1.00,2.00,2.00,2.00,4.00,2.00,3.00,2.00,3.00,3.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,2.00,2.00,1.00,3.00,3.00,1.00,2.00,1.00,2.00,2.00,3.00,2.00,2.00,2.00,2.00
143,3.00,3.00,1.00,2.00,1.00,1.00,2.00,2.00,1.00,1.00,5.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,2.00,1.00,1.00,1.00,3.00,4.00,4.00,1.00,1.00,2.00,3.00,2.00,2.00,4.00,1.00,1.00,2.00,2.00,3.00,3.00,1.00,2.00,3.00,1.00,1.00,4.00,2.00,3.00,1.00,1.00
144,3.00,5.00,4.00,5.00,2.00,4.00,4.00,3.00,3.00,4.00,4.00,3.00,4.00,4.00,4.00,5.00,4.00,4.00,3.00,3.00,5.00,1.00,5.00,3.00,4.00,3.00,4.00,2.00,3.00,3.00,2.00,4.00,2.00,3.00,2.00,2.00,2.00,3.00,3.00,3.00,2.00,2.00,2.00,3.00,2.00,4.00,2.00,2.00